# Simulated data
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  3.93697e-01  1.44899e-05  6.26097e-05 
  3.94947e-01  1.95389e-04  6.25279e-05 
  3.96198e-01  1.56841e-04  6.24458e-05 
  3.97449e-01  7.05494e-05  6.23631e-05 
  3.98699e-01  2.05787e-04  6.22796e-05 
  3.99950e-01  7.02877e-05  6.21952e-05 
  4.01201e-01  1.93054e-04  6.21097e-05 
  4.02451e-01  2.12912e-04  6.20229e-05 
  4.03702e-01  1.43203e-04  6.19347e-05 
  4.04952e-01  1.56952e-05  6.18451e-05 
  4.06203e-01  8.24799e-05  6.17540e-05 
  4.07454e-01  1.71297e-04  6.16613e-05 
  4.08704e-01  1.35164e-04  6.15671e-05 
  4.09955e-01  1.70503e-04  6.14715e-05 
  4.11206e-01  1.34998e-04  6.13744e-05 
  4.12456e-01  1.32616e-04  6.12759e-05 
  4.13707e-01  2.83577e-05  6.11762e-05 
  4.14957e-01  4.29190e-05  6.10754e-05 
  4.16208e-01  1.73594e-04  6.09736e-05 
  4.17459e-01  7.89166e-05  6.08710e-05 
  4.18709e-01  8.53609e-05  6.07677e-05 
  4.19960e-01  9.19773e-05  6.06639e-05 
  4.21211e-01  1.66307e-04  6.05598e-05 
  4.22461e-01  2.35458e-04  6.04555e-05 
  4.23712e-01  1.05552e-04  6.03511e-05 
  4.24962e-01  -2.63762e-06 6.02469e-05 
  4.26213e-01  9.10544e-05  6.01429e-05 
  4.27464e-01  4.34030e-05  6.00393e-05 
  4.28714e-01  8.70688e-06  5.99362e-05 
  4.29965e-01  1.09211e-04  5.98336e-05 
  4.31216e-01  -3.06071e-05 5.97317e-05 
  4.32466e-01  7.70598e-05  5.96305e-05 
  4.33717e-01  7.04167e-05  5.95300e-05 
  4.34967e-01  1.00317e-04  5.94304e-05 
  4.36218e-01  6.28033e-05  5.93316e-05 
  4.37469e-01  4.03761e-05  5.92336e-05 
  4.38719e-01  1.46475e-04  5.91365e-05 
  4.39970e-01  1.60209e-04  5.90401e-05 
  4.41221e-01  -1.85003e-05 5.89446e-05 
  4.42471e-01  1.00593e-04  5.88499e-05 
  4.43722e-01  1.69509e-04  5.87559e-05 
  4.44972e-01  1.30210e-05  5.86627e-05 
  4.46223e-01  1.40374e-04  5.85702e-05 
  4.47474e-01  -1.85974e-06 5.84784e-05 
  4.48724e-01  1.10620e-04  5.83872e-05 
  4.49975e-01  2.30921e-05  5.82967e-05 
  4.51226e-01  -2.89041e-05 5.82068e-05 
  4.52476e-01  1.02600e-04  5.81175e-05 
  4.53727e-01  1.14089e-04  5.80288e-05 
  4.54977e-01  1.18432e-04  5.79407e-05 
  4.56228e-01  9.45798e-05  5.78533e-05 
  4.57479e-01  -1.20293e-05 5.77664e-05 
  4.58729e-01  3.68797e-05  5.76801e-05 
  4.59980e-01  3.04820e-05  5.75944e-05 
  4.61231e-01  3.13752e-05  5.75093e-05 
  4.62481e-01  1.79198e-05  5.74249e-05 
  4.63732e-01  -5.88615e-05 5.73411e-05 
  4.64982e-01  8.51618e-05  5.72579e-05 
  4.66233e-01  7.70826e-05  5.71754e-05 
  4.67484e-01  5.17695e-05  5.70936e-05 
  4.68734e-01  5.55521e-06  5.70125e-05 
  4.69985e-01  1.12614e-04  5.69320e-05 
  4.71236e-01  7.51871e-05  5.68523e-05 
  4.72486e-01  2.43990e-05  5.67732e-05 
  4.73737e-01  9.23420e-06  5.66949e-05 
  4.74987e-01  1.14396e-04  5.66172e-05 
  4.76238e-01  7.85052e-05  5.65402e-05 
  4.77489e-01  1.21420e-04  5.64639e-05 
  4.78739e-01  3.06137e-05  5.63883e-05 
  4.79990e-01  9.26539e-05  5.63133e-05 
  4.81241e-01  -4.28146e-05 5.62390e-05 
  4.82491e-01  2.29939e-05  5.61653e-05 
  4.83742e-01  1.03762e-04  5.60923e-05 
  4.84992e-01  6.42450e-05  5.60198e-05 
  4.86243e-01  3.31215e-05  5.59479e-05 
  4.87494e-01  -2.85985e-05 5.58767e-05 
  4.88744e-01  5.32510e-05  5.58060e-05 
  4.89995e-01  6.31919e-05  5.57358e-05 
  4.91246e-01  -2.31256e-05 5.56662e-05 
  4.92496e-01  -3.86473e-05 5.55970e-05 
  4.93747e-01  -5.58294e-06 5.55284e-05 
  4.94997e-01  -2.09254e-05 5.54603e-05 
  4.96248e-01  9.91556e-07  5.53927e-05 
  4.97499e-01  5.71587e-05  5.53256e-05 
  4.98749e-01  4.64753e-05  5.52589e-05 
  5.00000e-01  2.52228e-05  5.51926e-05 
