# Simulated data
# sigma generated using Sedlak et al, k=100000, c=0.55, https://doi.org/10.1107/S1600576717003077, and rebinned with 10 per bin)
# q            I            sigma       
  4.44972e-01  8.72943e-05  8.75581e-05 
  4.46223e-01  7.97083e-05  8.74251e-05 
  4.47474e-01  4.47455e-05  8.72928e-05 
  4.48724e-01  1.03630e-04  8.71612e-05 
  4.49975e-01  2.06862e-04  8.70301e-05 
  4.51226e-01  9.89112e-05  8.68998e-05 
  4.52476e-01  9.49283e-05  8.67700e-05 
  4.53727e-01  3.27324e-05  8.66409e-05 
  4.54977e-01  1.88598e-05  8.65124e-05 
  4.56228e-01  5.42419e-05  8.63845e-05 
  4.57479e-01  3.89657e-05  8.62573e-05 
  4.58729e-01  5.86887e-05  8.61307e-05 
  4.59980e-01  1.76701e-04  8.60048e-05 
  4.61231e-01  -1.64719e-04 8.58795e-05 
  4.62481e-01  -3.68752e-05 8.57548e-05 
  4.63732e-01  1.79620e-05  8.56308e-05 
  4.64982e-01  1.27691e-04  8.55075e-05 
  4.66233e-01  2.03163e-04  8.53847e-05 
  4.67484e-01  9.66141e-05  8.52626e-05 
  4.68734e-01  -6.79935e-05 8.51412e-05 
  4.69985e-01  -1.16072e-05 8.50204e-05 
  4.71236e-01  9.29373e-05  8.49002e-05 
  4.72486e-01  -6.11263e-05 8.47807e-05 
  4.73737e-01  2.13528e-05  8.46618e-05 
  4.74987e-01  -2.28243e-04 8.45435e-05 
  4.76238e-01  9.54598e-05  8.44259e-05 
  4.77489e-01  2.89174e-05  8.43089e-05 
  4.78739e-01  1.18643e-04  8.41925e-05 
  4.79990e-01  7.03483e-05  8.40768e-05 
  4.81241e-01  1.46701e-04  8.39617e-05 
  4.82491e-01  4.71807e-05  8.38471e-05 
  4.83742e-01  8.66899e-05  8.37333e-05 
  4.84992e-01  1.36908e-04  8.36200e-05 
  4.86243e-01  -7.55801e-05 8.35073e-05 
  4.87494e-01  1.11178e-04  8.33953e-05 
  4.88744e-01  9.93579e-05  8.32838e-05 
  4.89995e-01  -3.60097e-05 8.31729e-05 
  4.91246e-01  1.66267e-04  8.30627e-05 
  4.92496e-01  4.62608e-05  8.29530e-05 
  4.93747e-01  -1.20356e-05 8.28439e-05 
  4.94997e-01  -4.61298e-06 8.27353e-05 
  4.96248e-01  -3.05943e-05 8.26274e-05 
  4.97499e-01  1.37965e-05  8.25200e-05 
  4.98749e-01  -4.65250e-05 8.24132e-05 
  5.00000e-01  1.17813e-04  8.23069e-05 
